Name of movie,Price ( in $ ),Rating stars,Link to the movie
10 Cloverfield Lane,14.99,4.8 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDU4ODA5Mzc2NTMzNzg0OjE3MjY1MDc1OTk6c3BfYXRmX2Jyb3dzZToyMDAxMDAxNzY0NjQ2OTg6OjA6Og&url=%2FInsanity-God-Lifeway-Films%2Fdp%2F1462745628%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8%26dib_tag%3Dse%26qid%3D1726507599%26s%3Dmovies-tv%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
10 Years,20.37,4.5 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDU4ODA5Mzc2NTMzNzg0OjE3MjY1MDc1OTk6c3BfYXRmX2Jyb3dzZTozMDAzOTAxNzc2NjIxMDI6OjA6Og&url=%2FStrong-Balance-Strength-Results-Exercise%2Fdp%2FB01GKK1TPS%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8%26dib_tag%3Dse%26qid%3D1726507599%26s%3Dmovies-tv%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
13 Hours: The Secret Soldiers of Benghazi,0,3.6 out of 5 stars,https://www.amazon.com/Jackpot-Paul-Feig/dp/B0D1JBLX5N/ref=sr_1_3?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-3
1984 San Diego McDonald's Massacre: 77 Minutes,3.99,4.6 out of 5 stars,https://www.amazon.com/Passengers-Jennifer-Lawrence/dp/B01MQVG52J/ref=sr_1_4?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-4
21 Jump Street,3.99,4.6 out of 5 stars,https://www.amazon.com/Beekeeper-Jason-Statham/dp/B0CQCDMY2V/ref=sr_1_5?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-5
22 Jump Street,44.63,4.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDU4ODA5Mzc2NTMzNzg0OjE3MjY1MDc1OTk6c3BfbXRmX2Jyb3dzZTozMDAzOTk5NDU5NDkzMDI6OjA6Og&url=%2F10-Movie-Spotlight-Collection-Indemnity-Phantom%2Fdp%2FB00MUNSV3S%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8%26dib_tag%3Dse%26qid%3D1726507599%26s%3Dmovies-tv%26sr%3D1-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
5 Film Collection Will Ferrell,3.99,4.5 out of 5 stars,https://www.amazon.com/Overboard-Eugenio-Derbez/dp/B0B8MY95Z8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-9
6-Film Clint Eastwood Collection: The Enforcer / Firefox / Absolute Power / Sudden Impact / Dirty Harry & Magnum Force [Blu-ray] Region 1/A,5.99,4.6 out of 5 stars,https://www.amazon.com/Quiet-Place-Day-One/dp/B0CWDYRY9M/ref=sr_1_10?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-10
A Perfect Ending,5.99,3.8 out of 5 stars,https://www.amazon.com/Night-Swim-Wyatt-Russell/dp/B0CLVT6L1Y/ref=sr_1_11?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-11
A Quiet Place Part II,37.94,3.9 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDU4ODA5Mzc2NTMzNzg0OjE3MjY1MDc1OTk6c3BfbXRmX2Jyb3dzZToyMDAwMjM3OTg5OTAwMjE6OjA6Og&url=%2FFantasista-Doll-Complete-Collection-Blu-ray%2Fdp%2FB00JXBLM4K%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8%26dib_tag%3Dse%26qid%3D1726507599%26s%3Dmovies-tv%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
A Quiet Place: Day One (Standard),0,4.8 out of 5 stars,https://www.amazon.com/Sing-2-Matthew-McConaughey/dp/B09PMFJQFP/ref=sr_1_13?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-13
A Quiet Place: Day One | Day Zero: Beginnings And Endings (Free to Watch),0,4.1 out of 5 stars,https://www.amazon.com/Doorman-Ruby-Rose/dp/B08J1FD1DD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8&dib_tag=se&qid=1726507599&s=movies-tv&sr=1-15
A Quiet Place: Day One | Extended Preview,79.99,4.5 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDU4ODA5Mzc2NTMzNzg0OjE3MjY1MDc1OTk6c3BfbXRmX2Jyb3dzZTozMDAwNzAwNjQ0MzA0MDI6OjA6Og&url=%2FComplete-Feature-Library-13-Movie-Collection%2Fdp%2FB07RS4BSG1%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.GqQ3NhbP6kyIhDc144NlTYfW4KKMaq1QTID-XtztwuJ5bXuAUsHmrMfiz9DXcZF3SP9_4Y1o_PoB3RfPCHhgsqZMd3ITgMcdhINucj-0elEnrANILAmBr7ueR186CWM-J0le0E0MV2_2BnZ_WjfnRRkdJDnps_Xk66lhdNHJMlVEBLUeL6bYGYogMc5NB5UXbNyftSaiPSK4d9i4btiK-NwnYisBv3bD-8fjfqaKlwY.Rx6g6FDByFrIUtCp9BdIOlgbFjLCFWcnIvFgoPY9ZM8%26dib_tag%3Dse%26qid%3D1726507599%26s%3Dmovies-tv%26sr%3D1-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
